step,loss
100,0.372876
200,0.371430
300,0.357702
400,0.324465
500,0.302378
600,0.302176
700,0.300129
800,0.285174
900,0.283957
1000,0.275460
1100,0.286272
1200,0.271487
1300,0.275851
1400,0.260630
1500,0.239267
1600,0.247323
1700,0.241049
1800,0.259320
1900,0.240195
2000,0.247595
2100,0.229045
2200,0.248335
2300,0.235524
2400,0.229830
2500,0.246315
2600,0.241794
2700,0.249294
2800,0.239518
2900,0.239659
3000,0.237619
3100,0.245978
3200,0.255952
3300,0.236515
3400,0.226837
3500,0.239846
3600,0.241022
3700,0.229547
3800,0.236520
3900,0.245280
4000,0.235996
4100,0.226528
4200,0.237070
4300,0.234502
4400,0.248768
4500,0.231975
4600,0.223382
4700,0.220785
4800,0.239465
4900,0.227116
5000,0.222316
5100,0.236058
5200,0.244083
5300,0.243369
5400,0.232900
5500,0.219734
5600,0.226024
5700,0.240263
5800,0.236890
5900,0.221047
6000,0.229006
6100,0.229882
6200,0.246862
6300,0.209593
6400,0.225967
6500,0.220854
6600,0.221850
6700,0.234288
6800,0.231860
6900,0.211995
7000,0.216611
7100,0.221677
7200,0.206930
7300,0.210946
7400,0.228305
7500,0.222653
7600,0.229615
7700,0.232699
7800,0.223558
7900,0.221154
8000,0.215365
8100,0.223887
8200,0.218782
8300,0.242848
8400,0.231599
8500,0.231624
8600,0.208904
8700,0.203769
8800,0.211830
8900,0.214953
9000,0.227196
9100,0.208883
9200,0.221399
9300,0.219702
9400,0.219462
9500,0.222193
9600,0.223211
9700,0.219179
9800,0.219654
9900,0.206718
10000,0.229889
10100,0.204933
10200,0.222410
10300,0.210156
10400,0.221484
10500,0.216543
10600,0.206344
10700,0.233895
10800,0.218060
10900,0.214987
11000,0.227040
11100,0.217875
11200,0.227706
11300,0.226069
11400,0.205200
11500,0.222663
11600,0.207278
11700,0.215611
11800,0.219415
11900,0.207896
12000,0.200278
12100,0.230345
12200,0.221762
12300,0.226579
12400,0.226535
12500,0.201151
12600,0.218499
12700,0.227657
