step,loss
100,0.364848
200,0.359656
300,0.333506
400,0.269016
500,0.293280
600,0.277632
700,0.263590
800,0.251379
900,0.257506
1000,0.241974
1100,0.254411
1200,0.259601
1300,0.236898
1400,0.226909
1500,0.206005
1600,0.216262
1700,0.204329
1800,0.224455
1900,0.201160
2000,0.209044
2100,0.190833
2200,0.224718
2300,0.194955
2400,0.196173
2500,0.212826
2600,0.201033
2700,0.216470
2800,0.201047
2900,0.204876
3000,0.194328
3100,0.208071
3200,0.202013
3300,0.196518
3400,0.191182
3500,0.201905
3600,0.196690
3700,0.190667
3800,0.194421
3900,0.205415
4000,0.197928
4100,0.176110
4200,0.193355
4300,0.193832
4400,0.196843
4500,0.190063
4600,0.178976
4700,0.180492
4800,0.205096
4900,0.187601
5000,0.182951
5100,0.192512
5200,0.189300
5300,0.199954
5400,0.183725
5500,0.183510
5600,0.178375
5700,0.195451
5800,0.185920
5900,0.182196
6000,0.181858
6100,0.185020
6200,0.203439
6300,0.165530
6400,0.183888
6500,0.176054
6600,0.185501
6700,0.197781
6800,0.186567
6900,0.167566
7000,0.165556
7100,0.175356
7200,0.167133
7300,0.176510
7400,0.175661
7500,0.174418
7600,0.172176
7700,0.177088
7800,0.174107
7900,0.180588
8000,0.168860
8100,0.178816
8200,0.174216
8300,0.201582
8400,0.180753
8500,0.176487
8600,0.164862
8700,0.165248
8800,0.173608
8900,0.174545
9000,0.182186
9100,0.168158
9200,0.176255
9300,0.171475
9400,0.171613
9500,0.170742
9600,0.181890
9700,0.179661
9800,0.176180
9900,0.161240
10000,0.187806
10100,0.165434
10200,0.177807
10300,0.163960
10400,0.177631
10500,0.173577
10600,0.164136
10700,0.180177
10800,0.171062
10900,0.163342
11000,0.185119
11100,0.170855
11200,0.184992
11300,0.181569
11400,0.166903
11500,0.178548
11600,0.167097
11700,0.171263
11800,0.168312
11900,0.172208
12000,0.156324
12100,0.187344
12200,0.182265
12300,0.179315
12400,0.182634
12500,0.151365
12600,0.180783
12700,0.173062
12800,0.161005
12900,0.164497
13000,0.159255
13100,0.172645
13200,0.162542
13300,0.170186
13400,0.162540
13500,0.155518
13600,0.170892
13700,0.163296
13800,0.162363
13900,0.164985
14000,0.167950
14100,0.170974
14200,0.157890
14300,0.165897
14400,0.165658
14500,0.168273
14600,0.173103
14700,0.156783
14800,0.157164
14900,0.164689
15000,0.181372
15100,0.181883
15200,0.168741
15300,0.176367
15400,0.155136
15500,0.166884
15600,0.166791
15700,0.159415
15800,0.180390
15900,0.166196
16000,0.176800
16100,0.168153
16200,0.178699
